"","realization_no","dgp_spec","SV","cross_corr","model","sample","train_MAE","train_MSE","train_RMSE","train_RSquare","validation_MAE","validation_MSE","validation_RMSE","validation_RSquare","test_MAE","test_MSE","test_RMSE","test_RSquare"
"1",1,"g1",0,0,"LM_MSE",1,0.0531458552274021,0.00470659789692047,0.0686046492369174,0.165047254029841,0.0570676630129775,0.00543988323380449,0.0737555640870876,0.0435563161052448,0.05606375795179,0.00543604178651816,0.0737295177423409,-0.0277015782004608
"2",1,"g1",0,0,"LM_MAE",1,0.0527445461154525,0.00477597440461364,0.0691084249901099,0.152739827971173,0.0581177655823653,0.00562015101798896,0.0749676664835512,0.0118615211652512,0.0574064874264501,0.00564550966461669,0.0751366066881962,-0.0673021694685503
"3",1,"g1",0,0,"ELN_MSE",1,0.0539442083115347,0.00485772933616071,0.0696974126934473,0.13823646352687,0.0551345017966115,0.00511325770051384,0.0715070465095143,0.100983822337969,0.0540864005444725,0.00509543207051166,0.0713822952174533,0.0366918088331761
"4",1,"g1",0,0,"ELN_MAE",1,0.0538836992467907,0.00485344459093289,0.0696666677180191,0.13899657940507,0.0552034697485865,0.00512948137248328,0.0716203977403315,0.09813136615135,0.0539698289424807,0.00507598853442404,0.0712459720575419,0.0403676732778905
"5",1,"g1",0,0,"RF_MSE",1,0.0326931103534152,0.00184355383744428,0.0429366258274248,0.672952656540922,0.0558764158515807,0.00524006935835612,0.0723883233564372,0.0786877170771502,0.0555487482417539,0.005308450978987,0.0728591173360411,-0.0035801164065421
"6",1,"g1",0,0,"RF_MAE",1,0.0384231010179795,0.00280672843580283,0.0529785658148919,0.502085016398056,0.0555649383262468,0.00518901773463073,0.0720348369515107,0.0876636455973229,0.055289786391017,0.00526242248755971,0.0725425563897476,0.0051217212797191
"7",1,"g1",0,0,"NN1_MSE",1,0.0549445860199158,0.00503377598699168,0.0709491084298575,0.107005702423112,0.0573349513614691,0.00547608850965717,0.0740005980358076,0.0371906817846809,0.0567180263971376,0.0055035427926846,0.0741858665291752,-0.0404628654185653
"8",1,"g1",0,0,"NN1_MAE",1,0.0536435901767804,0.00487000522670283,0.0697854227378671,0.136058714600395,0.0569648583475706,0.00543700154115479,0.0737360260737911,0.0440629771152828,0.0554826491588339,0.00534017148297849,0.0730764769469526,-0.00957698201089063
"9",1,"g1",0,0,"NN2_MSE",1,0.0552513916258496,0.00508030220154274,0.0712762386882384,0.0987519294325585,0.0578179153128289,0.00558265834718359,0.074717189101194,0.0184535060742851,0.055956287957203,0.00541673951961111,0.0735985021560297,-0.024052421158951
"10",1,"g1",0,0,"NN2_MAE",1,0.0535419099590879,0.00485362132574659,0.0696679361381302,0.13896522656354,0.0566240877368616,0.0053673957625135,0.0732625126685777,0.0563011087961864,0.0549827066484188,0.00524885458421851,0.0724489791799616,0.00768677802950457
"11",1,"g1",0,0,"NN3_MSE",1,0.0568550187204698,0.00533892623257334,0.0730679562638325,0.0528719010952821,0.0599216954037317,0.00597979582054258,0.0773291395305973,-0.0513714537100969,0.0574327121802597,0.00567417636343347,0.0753271290003374,-0.072721703161037
"12",1,"g1",0,0,"NN3_MAE",1,0.054775384900413,0.00503380182472935,0.0709492905160393,0.10700111879594,0.0568711036603857,0.00542409290469389,0.073648441291679,0.0463325816784845,0.0551093180038427,0.00525888664715058,0.0725181814936818,0.00579018353799998
"13",1,"g1",0,0,"NN4_MSE",1,0.0570799201901702,0.00539592632056375,0.0734569691762718,0.0427600578848665,0.0578474813391988,0.00558556656809391,0.0747366480924446,0.017942180848817,0.0558758229329723,0.00538401843980891,0.0733758709645679,-0.0178663934068197
"14",1,"g1",0,0,"NN4_MAE",1,0.0541688844350139,0.00494443561870337,0.0703166809420309,0.122854727018377,0.0566941683187547,0.00539132028333157,0.0734256105410883,0.0520946845324344,0.0547262847077754,0.005187837984829,0.072026647741159,0.0192221668200283
"15",1,"g1",0,0,"NN5_MSE",1,0.0587371506717479,0.00566713877213835,0.0752804009828478,-0.00535316235255334,0.0603276515646082,0.00602290662668719,0.0776073877068877,-0.0589512227000613,0.05838368567989,0.00581085691006005,0.0762289768399134,-0.098561610025957
"16",1,"g1",0,0,"NN5_MAE",1,0.0537844257946966,0.00489082834813847,0.069934457516581,0.132364682774617,0.0566678690369838,0.00538506051106128,0.0733829715333283,0.0531952816212363,0.0546803726655325,0.00519098224341373,0.0720484714856168,0.0186277343935125
"17",1,"g1",0,0,"FFORMA_MSE",1,0,0,0,0,0.0598086618443135,0.00594040861549171,0.0770740463158106,-0.04444637060113,0.0564070660809976,0.00552699244820701,0.074343745185503,-0.0448960999180494
"18",1,"g1",0,0,"FFORMA_MAE",1,0,0,0,0,0.0597201972255102,0.00592421360571132,0.076968913242369,-0.0415989538185753,0.0561797527870498,0.0054920183436116,0.0741081530171384,-0.0382841304188479
"19",1,"g1",0,0,"LM_MSE",2,0.0528969646104249,0.00465758401834336,0.0682464945498548,0.165782859214978,0.0571300462061241,0.00549971501746578,0.0741600634942135,0.0359010069734924,0.0509628294468549,0.00434219074724687,0.0658953014049323,-0.0997412377114426
"20",1,"g1",0,0,"LM_MAE",2,0.0525579775692987,0.00471209461860533,0.0686446984012992,0.156019497585016,0.0576420734371527,0.0055886070486743,0.0747569866211466,0.0203182508663039,0.0512192075359425,0.00435552447699322,0.0659963974546582,-0.103118254822876
"21",1,"g1",0,0,"ELN_MSE",2,0.0534695492538024,0.00477621524461456,0.0691101674474498,0.144534889881947,0.0557729721211345,0.00525666808228534,0.0725028832687731,0.0785070883288883,0.0489053651623275,0.00401969599246704,0.0634010724867257,-0.0180633931805718
